"id","recipe_id","position","photo_saved_at","memo","created_at","updated_at"
6185375,1210868,3,,"トマトは湯むきしてざく切りにし、種を取り除く。にんにくは粗めのみじん切りにしておく。","2010-08-15 14:59:41","2010-08-15 15:07:52"
6185376,1210868,4,,"深めのフライパンまたは鍋にオリーブオイル大匙２とみじん切りのにんにくを入れ、弱火で香りを出したら、２の野菜を投入。 ","2010-08-15 14:59:41","2010-08-15 15:08:57"
6185414,1210868,5,,"火を強めて油が回るようしばらく炒め合わせ、塩を加えて野菜の水分を出すように混ぜる。次にトマトを加えてざっと混ぜる。","2010-08-15 15:09:03","2010-08-15 15:11:26"
6185415,1210868,6,,"５にベイリーブスと白ワインを加え、蓋をして弱火にしたら20分くらいコトコト煮込む。","2010-08-15 15:09:04","2010-08-15 15:31:24"
6185422,1210868,7,,"【クスクスを用意する】ボウルにクスクスを入れ、同量の熱湯を注いで5～10分蒸らしておく。","2010-08-15 15:14:24","2010-08-15 15:31:24"
6185425,1210868,8,,"【チキンをソテーする】１の鶏肉に塩胡椒をふり、オリーブオイル少々を敷いて熱したフライパンに皮を下にして入れる。","2010-08-15 15:16:29","2010-08-15 15:31:24"
6185424,1210868,9,,"強火で皮を焼きつけるようにし、パリっとしてきたら裏返し、しばらく火を通す。","2010-08-15 15:16:28","2010-08-15 15:31:24"
6185457,1210868,10,,"白ワイン少々を回し入れて蓋をする。ふっくらするまで弱火で火を通す。","2010-08-15 15:25:02","2010-08-15 15:31:24"
6185442,1210868,11,,"【仕上げ】６のクスクスをスプーンなどでざっと混ぜる。ボソボソするようならオリーブオイルを大匙1ほど加えてパラリとさせる。","2010-08-15 15:19:48","2010-08-15 15:31:24"
6185441,1210868,12,,"お皿にクスクスを盛り、食べやすく切ったチキンソテーと５のラタトゥユを汁ことたっぷりかけ、パセリを散らす。","2010-08-15 15:19:47","2010-08-15 15:31:24"
6185479,1210868,13,,"※ラタトゥユは当然余りますが、たくさん作っておけばそれはそれで美味しくいただけるという分量。冷やして食べると最高！","2010-08-15 15:38:18","2010-08-16 09:57:28"
6207988,1214998,1,,"クリームチーズは常温に戻してやわらかくし、明太子と合わせて滑らかなクリーム状にする。","2010-08-21 11:01:03","2010-08-21 11:06:38"
6207989,1214998,2,"2010-08-21 11:09:21","パイシートの上に端を1㎝くらいあけて１の明太クリームチーズを塗る。その上に、刻んだ浅葱を散らす。","2010-08-21 11:01:03","2010-08-21 11:09:21"
6207990,1214998,3,,"端の部分に溶き卵を塗り、包丁で幅1.5㎝くらいに切り分けてくるくる巻いていく。端は卵を接着剤にしてくっつけます。","2010-08-21 11:01:04","2010-08-21 11:09:08"
6207991,1214998,4,,"トレイにオーブンシートを敷き、３のパイを間隔をあけて載せる。オーブントースターで5分～良い色になるまで焼けばできあがり。","2010-08-21 11:01:04","2010-08-21 11:10:35"
6657762,1296508,1,,"ピーマン、ズッキーニ、タマネギを小さめのダイスカットにし、オリーブオイルをしいたフランパンで軽く炒めておく。","2010-11-28 14:29:48","2010-11-28 14:38:46"
6657763,1296508,2,,"トマトも種を除いてダイスカット。１で炒めた野菜と合わせておく。","2010-11-28 14:29:48","2010-11-28 14:45:54"
6657764,1296508,3,,"フードプロセッサーにコーン缶（粒タイプ）と牛乳を入れ、滑らかになるまでまわす。","2010-11-28 14:29:48","2010-11-28 14:39:48"
6657765,1296508,4,,"大き目の鍋に３を入れ、鶏スープ、クリームタイプのコーン缶を加えて火にかけなじませる。","2010-11-28 14:29:48","2010-11-28 14:40:30"
6657814,1296508,5,,"刻んだチェダーチーズと２の野菜も加えて軽く煮たら、塩、胡椒で味を調え、パセリも加える。","2010-11-28 14:40:35","2010-11-29 06:48:55"
6657817,1296508,6,,"器に盛り、トルティーヤチップスと飾り用のパセリをあしらって出来上がり。","2010-11-28 14:41:51","2010-11-28 14:43:35"
6658378,1296508,7,,"付け合わせはトルティーヤチップスがベストですが、ハード系のパンなどもgood！これだけで立派なランチになります。","2010-11-28 16:19:02","2010-11-28 16:20:05"
6657887,1296530,1,,"バターと卵は使う前（2時間くらい）に冷蔵庫から出し、室温に戻しておく。","2010-11-28 14:53:53","2010-11-28 14:58:31"
6657888,1296530,2,"2013-09-22 10:18:57","ボウルにバターを入れ、柔らかくふわっとするまで練ったら粉砂糖を加え、滑らかになるまで混ぜる。","2010-11-28 14:53:53","2013-09-22 10:18:57"
6657889,1296530,3,,"割りほぐしておいた卵を少しずつ２に加える。４～５回に分けて、分離しないように。","2010-11-28 14:53:53","2010-11-28 14:59:49"
6657890,1296530,4,,"３に、薄力粉とベーキングパウダーを合わせてふるい入れる。ゴムべらでさくりと切るように混ぜる。","2010-11-28 14:53:53","2013-09-22 10:18:56"
6657934,1296530,5,,"４の生地の固さを見ながら、熱湯を加える。へらですくって、たらりと生地が落ちるくらいの固さになるよう、調整してください。","2010-11-28 15:00:29","2010-11-29 10:28:24"
6657946,1296530,6,,"５の生地を、表面が平らになるように型に流し入れる。トントンと落として余分な気泡を抜くのも忘れずに。","2010-11-28 15:01:51","2010-11-28 15:02:37"
6657951,1296530,7,,"170度に余熱したオーブンで25～30分焼く。焼き上がったら余熱を取り、型からはずして上下2枚にスライスする。","2010-11-28 15:02:39","2010-11-28 15:03:23"
6657957,1296530,8,,"スライスした下側の生地の表面にラズベリージャムを塗り、もう1枚の生地を重ねてサンドする。","2010-11-28 15:03:25","2010-11-28 15:05:06"
6657965,1296530,9,,"仕上げに粉砂糖（分量外）を振って出来上がり。","2010-11-28 15:04:52","2010-11-28 15:04:57"
6657966,1296530,10,"2010-11-28 15:05:23","こんな形のフラワー型を使いました。６つに切り分けるとハート型になるのがお気に入り。","2010-11-28 15:05:07","2010-11-28 15:05:59"
7607193,1468815,1,,"豚肉の表面に、塩をまんべんなくすり込みます。粗挽きにした黒胡椒も同様に。","2011-06-13 06:27:57","2011-06-13 06:33:53"
7607194,1468815,2,,"ビニール袋にぴっちり入れて、冷蔵庫で２日間放置。","2011-06-13 06:27:57","2011-06-13 06:34:17"
7607195,1468815,3,,"鍋に熱湯を沸かし、火を止めます。 そこに２の塩漬けにされた豚を投入し、蓋をして20分放置。","2011-06-13 06:27:57","2011-06-13 06:36:23"
7607196,1468815,4,,"20分経ったら一旦肉を取り出し、鍋の湯を再度沸騰させます。火を止めて肉を戻し、更に20分待ちます。","2011-06-13 06:27:57","2011-06-13 06:36:32"
7607213,1468815,5,,"中まで火が通っていればOK。バラ肉ならだいたい20分×２回、大きめなら３回で完成です。","2011-06-13 06:36:39","2011-06-13 10:16:42"
7607214,1468815,6,,"スライスしてあたたかいうちに召し上がるのがお勧め。彩りにトマトやハーブ類を添えると良いです。 ","2011-06-13 06:38:37","2011-06-13 10:17:08"
7607799,1468815,7,,"※火の通り具合はお肉の大きさや形状にもよるので、足りなければもう20分保温時間を追加してください。","2011-06-13 10:14:02","2011-06-13 10:14:10"
7898010,1524576,1,,"お米は洗ってザルにあげておく。干し椎茸は水に浸けて戻し、ごぼうはささがきにして水にさらしておく。","2011-08-17 06:49:29","2011-08-17 11:16:59"
7898011,1524576,2,,"人参を小さめの細切りにする。水で戻した椎茸も程よい大きさの薄切りにしておく。鶏肉は小さめのそぎ切りにしておく。","2011-08-17 06:49:29","2011-08-17 11:18:11"
7898833,1524576,3,,"炊飯器に洗ったお米と具材を全て入れ、調味料を入れたら、炊飯器の２合の位置まで水を加える。","2011-08-17 11:17:40","2011-08-17 11:57:20"
7898834,1524576,4,,"椿油といりごまを回し入れ、表面を平らにならしたらスイッチを入れて炊き上げます。","2011-08-17 11:17:43","2011-08-17 11:57:52"
7898972,1524576,5,,"炊きあがったら全体をざっくり混ぜてしばらく蒸らす。お茶碗によそって、お好みで七味などかけて召し上がってください。","2011-08-17 11:57:57","2011-08-17 11:59:15"
7905012,1524576,6,"2011-08-18 19:30:16","使用したのはこちらの食用の椿油です。義母の実家のある宗像市・地島の特産品。","2011-08-18 19:30:03","2016-01-15 10:06:57"
8431644,1629265,1,,"さつま芋は皮を剥き、1センチくらいの輪切りにして水にさらす。レンジでチンするか蒸し器で蒸して火を通す。","2011-11-16 14:34:19","2011-11-16 14:37:09"
8431645,1629265,2,,"１のさつま芋をフードプロセッサーにかける。（さつま芋だけだと粒が残って滑らかにはなりませんが、この段階では大丈夫）","2011-11-16 14:34:19","2011-11-16 14:38:44"
8431646,1629265,3,,"2に豆乳、メープルシロップ、菜種油を加え、滑らかになるまで回す。※水分である豆乳は少し残しつつ様子を見ながら加えます。","2011-11-16 14:34:19","2011-11-16 14:41:32"
8431647,1629265,4,,"使用するさつま芋の水分量によって固さが変わってくるので、３の状態で滑らかさが足りなければ、豆乳を追加してください。","2011-11-16 14:34:19","2011-11-16 14:42:26"
8431700,1629265,5,,"滑らかになった生地を星型の口金をつけた絞り袋に入れ、渦巻き状に型に絞る。（私は使い捨てのアルミの型を使いました）","2011-11-16 14:42:30","2011-11-16 14:45:37"
8431720,1629265,6,,"180度に余熱したオーブンで15分ほど、程よい焼き色がつくまで焼けばできあがり！","2011-11-16 14:45:42","2011-11-16 14:46:13"
8435864,1630052,1,,"＜準備１＞クリームチーズと無塩バターは室温に戻しておく。バニラビーンズは鞘からしごき出し、牛乳と合わせておく。","2011-11-17 11:41:31","2012-01-06 11:33:52"
8435865,1630052,2,,"＜準備２＞18センチの型の底にオーブンシートを敷き、側面にバター（分量外）を塗る。","2011-11-17 11:41:31","2012-01-06 11:33:28"
8435866,1630052,3,,"クリームチーズと無塩バターを一緒に大き目のボウルに入れ、泡立て器でクリーム状になるまで練る。","2011-11-17 11:41:32","2011-11-17 11:52:53"
8435867,1630052,4,,"３に砂糖（１）を加え、ざらつきがなくなり滑らかになるまでよく混ぜます。 ","2011-11-17 11:41:32","2011-11-17 11:53:25"
8435906,1630052,5,,"次に卵黄を加えて混ぜ、続けて牛乳とバニラビーンズ、レモン汁も加えてしっかり混ぜます。","2011-11-17 11:53:26","2011-11-17 11:54:11"
8435907,1630052,6,,"薄力粉を振るいながら加え、ゴムべらに持ち替えてさっと混ぜます。","2011-11-17 11:53:27","2011-11-17 11:54:51"
8435908,1630052,7,,"別のボウルに卵白と砂糖（２）を入れ、ハンドミキサーで固いメレンゲを作る。","2011-11-17 11:53:29","2011-11-17 11:55:17"
8435950,1630052,8,,"この辺りでオーブンを160度に余熱。また、湯煎用にやかんに別途お湯も沸かしておく。","2011-11-17 11:58:15","2011-11-17 11:59:11"
8435926,1630052,9,,"７のメレンゲを６のボウルに3回くらいに分けて加え、泡を壊さないようにふわっと（でもムラのないように）混ぜます。","2011-11-17 11:55:20","2011-11-17 11:58:15"
8435937,1630052,10,,"用意しておいた型入れる。少し高い位置から生地を落とすように流し入れ、トントンして大き目の気泡を消すといいです。","2011-11-17 11:56:25","2011-11-17 11:58:15"
8435952,1630052,11,,"型を天板に乗せ、160度に余熱したオーブンに入れる。この時、天板にお湯を注いで、38～40分湯煎焼きにします。","2011-11-17 11:59:14","2011-11-17 12:01:32"
8435964,1630052,12,,"焼き上がりは割れ目に竹串を刺してみて、べっとりした生地がついてこなければOK。型に入れたまま網などの上で冷まします。","2011-11-17 12:01:36","2011-11-17 12:02:50"
8435973,1630052,13,"2011-11-17 12:02:57","冷めると生地が少し沈みますが割れ目も綺麗に閉じるのでちょうど良いです。","2011-11-17 12:02:40","2011-11-17 12:03:31"
10187408,1948070,1,,"食パンは2つor4つに切り分ける。ボウルに卵を割りほぐし、牛乳、メープルシロップを加えてよく混ぜておく。","2012-09-09 14:31:48","2015-05-31 08:58:08"
10187409,1948070,2,,"バットに食パンを並べ、１の卵液を加えてときどきひっくり返しながらパンに液をしみこませる。10分ほど放置するといいです。","2012-09-09 14:31:48","2012-09-09 14:43:08"
10187500,1948070,3,"2012-09-09 14:42:07","こんな風に、パンがスポンジのように液をしっかり吸い上げた状態になればOK。","2012-09-09 14:41:55","2012-09-09 14:42:49"
10187410,1948070,4,,"フライパンにバターを入れて熱し、溶けたら２のパンを入れて弱めの中火で1～２分焼く。","2012-09-09 14:31:48","2012-09-09 14:41:54"
10187411,1948070,5,,"こんがり色づいてきたらひっくり返して弱火にし、蓋をしてふっくらと火を通す。","2012-09-09 14:31:48","2012-09-09 14:41:55"
10187488,1948070,6,,"お皿に盛り、お好みで更にメープルシロップをかけてお召し上がりください。","2012-09-09 14:39:36","2012-09-09 14:43:39"
16632913,1948070,7,,"写真は4ツ切りで、バナナやミントを飾ったもの。","2015-05-31 08:56:03","2015-05-31 08:58:45"
10187550,1948092,1,,"茄子は縦半分に切り、5ミリ程度の薄切りにして塩をまぶし、しばらく置く。オクラは熱湯でさっと茹で、水に取って冷ます。","2012-09-09 14:47:08","2013-05-21 15:02:27"
10187593,1948092,2,,"☆の調味料は予め合わせ混ぜておく。 ","2012-09-09 14:53:46","2013-05-21 14:59:17"
10187551,1948092,3,,"１の茄子を手でギュッと搾り、ボウルに入れる。オクラも7ミリくらいの輪切りにして加え、２の調味料を入れて全体をよく和える。","2012-09-09 14:47:08","2012-09-09 14:54:48"
10187552,1948092,4,,"刻んだ茗荷と、お好みで白胡麻を指ですり潰しながら加えればできあがり。","2012-09-09 14:47:08","2013-05-21 14:58:51"
10187686,1948118,1,,"バターは冷蔵庫から出して冷たいまま角切りにし、仕上げ用粉砂糖以外の全ての材料をフードプロセッサーに入れる。","2012-09-09 15:09:52","2012-09-09 15:13:54"
10187687,1948118,2,,"フードプロセッサーをがーっと回すと、サラサラした状態から少しずつ生地がまとまってきます。","2012-09-09 15:09:53","2012-09-09 15:15:31"
10187688,1948118,3,,"ぽろぽろの大きめの塊ができてきたらストップ。※回しすぎると生地がベタついてしまうので注意。","2012-09-09 15:09:53","2012-09-09 15:15:51"
10187689,1948118,4,,"オーブンの天板にシートを敷き、３の生地を手で丸めて並べていきます。大きめの梅干くらいのサイズがちょうど良いです。","2012-09-09 15:09:53","2012-09-09 15:17:21"
10187762,1948118,5,,"180度に予熱したオーブンで18～20分ほど焼きます。うっすらきつね色に色づくくらいがベスト。","2012-09-09 15:17:25","2015-09-30 13:46:08"
10187775,1948118,6,,"焼けたら粗熱を取り、仕上げに粉砂糖をかけます。茶漉しで薄くかけてもいいし、ビニール袋に入れてシェイクしてもOK。","2012-09-09 15:18:23","2012-09-09 15:19:16"
10187778,1948118,7,,"材料は胡桃以外にも、アーモンド、マカダミアナッツなどでも代替OK。動画ではカシューナッツを使っています。","2012-09-09 15:19:27","2016-07-28 11:49:01"
10338439,1948118,8,,"※粉砂糖と胡桃の分量を間違えていました。ごめんなさい！現在は修正してあります（2012.10.1）","2012-10-01 14:12:27","2012-10-01 14:13:24"
11630764,2214138,1,,"鶏ももにくは厚みが均一になるように開き、軽く塩コショウしておく。","2013-05-06 22:39:44","2013-05-06 22:43:00"
11630765,2214138,2,,"フライパンに油をしき、皮側から鶏肉を焼く。皮がパリッと良い色になってきたら裏返し、蓋をして蒸焼きで火を通す。","2013-05-06 22:39:44","2013-05-06 22:43:52"
11630766,2214138,3,,"中まで火が通ったかな・・・という頃に蓋を開け、余分な油や水分をキッチンペーパーでふき取り、醤油とみりんを加える。","2013-05-06 22:39:44","2013-05-06 22:44:52"
11630767,2214138,4,,"味を染み込ませるように煮からめつつ、柚子胡椒も投入。焦げないように煮詰めたら出来上がり。","2013-05-06 22:39:44","2013-05-06 22:45:57"
11757992,2238013,1,,"ホームベーカリーにパン生地の材料を全て入れ（イーストは専用の場所に）、生地コースで生地を捏ねる。","2013-05-28 09:49:02","2013-05-28 09:56:00"
11757993,2238013,2,,"捏ね上がったら取り出し、２等分にして潰してガス抜きする。奇麗に丸め直してマットの上で休ませる。（ベンチタイム15分）","2013-05-28 09:49:02","2013-05-28 09:59:55"
11757994,2238013,3,,"２の生地を再度潰してガス抜きし、めん棒で丸くのばす。ピザ生地のような感じで平らになるようにすると良いです。","2013-05-28 09:49:02","2013-05-28 10:01:12"
11757995,2238013,4,,"３でのばした生地をオーブンシートを敷いた天板に置き、2次発酵。（1.5倍程になる迄オーブンの発酵機能で40分程度？）","2013-05-28 09:49:02","2013-05-28 10:04:18"
11758103,2238013,5,,"発酵させている間にシュトロイゼルを作る。バターは冷蔵庫で冷やしておき、1㎝角に切る。粉類と砂糖は合わせて振るっておく。","2013-05-28 10:04:23","2013-05-28 10:06:36"
11758123,2238013,6,,"振るった粉類にバターを混ぜ、指ですり潰すようにしてポロポロの状態にする。適度に大小の粒が残るように。","2013-05-28 10:06:41","2013-05-28 10:07:41"
11758124,2238013,7,,"発酵した４の生地の表面に、刷毛で牛乳を塗る（艶だしのため）。その上に、６のシュトロイゼルをたっぷり均等に乗せる。","2013-05-28 10:06:43","2013-05-28 10:08:41"
11758130,2238013,8,,"180度に余熱したオーブンで15分〜20分（様子をみて加減）焼けば出来上がり。","2013-05-28 10:08:48","2013-05-28 10:09:31"
11758141,2238013,9,,"冷めたら好きな大きさにカットして召し上がれ。写真はスクエアに切りましたが、放射状に切っても良いかと。","2013-05-28 10:09:35","2013-05-28 10:10:32"
11848559,2251689,1,,"グリーンピースは鞘を外してざっと洗いザルにあげておく。","2013-06-13 11:00:58","2013-06-13 11:05:13"
11848584,2251689,2,,"グリーンピースとたっぷりの水を鍋に入れて火にかけ、柔らかくなるまで茹でます。※私は圧力鍋で1分でした。","2013-06-13 11:05:52","2013-06-13 11:07:54"
11848582,2251689,3,,"茹で上がったらザルにあけ、粗熱が取れたらフードプロセッサーにかけて滑らかになるまで回します。 ","2013-06-13 11:05:35","2013-06-13 11:08:58"
11849357,2251689,4,"2013-06-13 13:56:31","大き目のボウルにきれいな水を入れ、ペースト状になった餡をザルで少しずつ漉します。","2013-06-13 13:50:37","2013-06-13 13:56:52"
11849378,2251689,5,"2013-06-13 13:57:11","皮だけがザルに残り、餡の生地は水の方へ。この皮は捨てます。","2013-06-13 13:56:54","2013-06-21 15:13:47"
11849506,2251689,6,"2013-06-13 14:17:28","ボウルにたまった餡の素の溶け出した水を、ふきんで濾します。私は手拭いを活用。少しずつ濾されていくので時間をかけて。","2013-06-13 14:17:08","2013-06-21 15:15:26"
11849510,2251689,7,"2013-06-13 14:17:45","最後にギュッと絞り、餡の素が出来ました。","2013-06-13 14:17:33","2013-06-21 15:15:54"
11893184,2251689,8,"2013-06-21 15:16:24","餡の素と砂糖を鍋に入れ、火にかけます。熱が入るとトロッとしてくるので、お好みの硬さになるまで水分を飛ばします。","2013-06-21 15:15:57","2013-06-21 15:17:37"
11908159,2251689,9,"2013-06-24 11:18:20","程よい硬さになったら火からおろしてあら熱を取り、保存。 平らなバットなどを使うと冷ましやすいです。","2013-06-24 11:14:01","2013-06-24 11:19:41"
11908179,2251689,10,"2013-06-24 11:19:53","この餡の色を活かし、青梅に見立てた練り切りを作りました。中は桜餡で２層になっています。","2013-06-24 11:19:43","2013-06-24 11:21:19"
11850974,2255680,1,,"キャベツはザク切り、胡瓜はスライサーで薄く切り、塩昆布と一緒にジップロックに入れる。","2013-06-13 18:41:36","2013-06-13 18:50:39"
11850973,2255680,2,"2013-06-13 18:45:54","土佐酢、ハチミツもそのままジップロックに入れます。","2013-06-13 18:41:36","2013-06-13 18:51:13"
11850972,2255680,3,"2013-06-13 18:43:26","ジップロックをぴっちり閉じてモミモミし、味を馴染ませればOK。冷蔵庫で30分程休ませると味がしみます。","2013-06-13 18:41:36","2013-06-13 18:54:45"
11870360,2259251,1,,"豚バラ肉は食べやすい大きさに切る。パプリカは細切りにし、えのきは石づきを落として小分けにする。豆苗も根を落としておく。","2013-06-17 12:23:52","2013-06-19 13:49:07"
11881473,2259251,2,,"フライパンにサラダ油を薄くしいて熱し、豚バラ肉を炒める。肉の色が変わったらパプリカ、えのきの順に投入。","2013-06-19 13:49:10","2013-06-19 13:49:58"
11881475,2259251,3,,"胡麻ドレッシングを回し入れて味をなじませ、最後に豆苗を入れてひと炒めすれば出来上がり。お好みで黒こしょうをふりましょう。","2013-06-19 13:50:01","2013-06-19 13:51:11"
12261622,2332714,1,,"フライパンに少量の油を熱し、スペアリブの表面を焼き付けて旨みを閉じ込める。（フッ素加工のフライパンなら油無しでOK）","2013-09-03 09:08:23","2013-09-03 09:15:17"
12261623,2332714,2,,"圧力鍋に１のスペアリブ、櫛形に切った玉ねぎ、★の材料を全て入れ、蓋を閉めて強火にかける。沸騰しておもりが揺れたら弱火に。","2013-09-03 09:08:23","2013-09-03 09:17:07"
